Id,Description,Amount,Date,Owner
1,Deporte,1366,2018-06-27,Jacceline Broom
2,Deporte,2457,2018-12-27,Jacceline Broom
3,Comida,7966,2018-07-27,Bert Macklin
4,Comida,8584,2018-12-27,Bert Macklin
5,Musica,5213,2018-11-27,Jacceline Broom
6,Adornos,1665,2018-07-27,Paula Lionheart
7,Adornos,7335,2018-10-27,Paula Lionheart
8,Deporte,6298,2018-04-27,Paula Lionheart
9,Comida,6450,2019-01-27,Bert Macklin
10,Musica,1682,2018-10-27,Jacceline Broom
11,Musica,1274,2018-06-27,Paula Lionheart
12,Deporte,5632,2018-09-27,Mad Max
13,Adornos,5501,2018-04-27,Mad Max
14,Comida,466,2018-12-27,Mad Max
15,Adornos,8382,2018-06-27,Jacceline Broom
16,Comida,1221,2018-04-27,Jacceline Broom
17,Deporte,1076,2018-11-27,Paula Lionheart
18,Musica,4800,2018-04-27,Jacceline Broom
19,Musica,6630,2018-04-27,Mad Max
20,Musica,6658,2018-04-27,Jacceline Broom
21,Adornos,4405,2018-04-27,Mad Max
22,Musica,6784,2018-02-27,Bert Macklin
23,Deporte,8573,2018-07-27,Bert Macklin
24,Musica,8422,2018-05-27,Paula Lionheart
25,Comida,8342,2018-06-27,Paula Lionheart
26,Musica,5548,2018-04-27,Jacceline Broom
27,Musica,4785,2018-04-27,Bert Macklin
28,Adornos,7100,2018-08-27,Bert Macklin
29,Musica,5385,2018-07-27,Mad Max
30,Adornos,9815,2018-11-27,Mad Max
31,Deporte,8207,2018-12-27,Paula Lionheart
32,Musica,2334,2018-06-27,Paula Lionheart
33,Musica,176,2018-02-27,Jacceline Broom
34,Comida,6471,2018-05-27,Bert Macklin
35,Comida,6326,2018-10-27,Jacceline Broom
36,Comida,5655,2018-11-27,Paula Lionheart
37,Comida,1614,2018-09-27,Mad Max
38,Adornos,8999,2018-09-27,Mad Max
39,Deporte,4359,2018-05-27,Jacceline Broom
40,Comida,6946,2018-05-27,Paula Lionheart
41,Adornos,9432,2018-11-27,Mad Max
42,Deporte,2610,2019-01-27,Bert Macklin
43,Adornos,5978,2018-10-27,Jacceline Broom
44,Comida,8391,2018-05-27,Paula Lionheart
45,Adornos,205,2018-05-27,Bert Macklin
46,Comida,8846,2018-02-27,Mad Max
47,Adornos,5823,2019-01-27,Mad Max
48,Comida,2150,2018-12-27,Mad Max
49,Musica,6827,2019-01-27,Bert Macklin
50,Adornos,7270,2018-03-27,Paula Lionheart
51,Musica,8676,2018-06-27,Mad Max
52,Adornos,5628,2018-05-27,Jacceline Broom
53,Musica,9297,2018-03-27,Mad Max
54,Deporte,6339,2018-08-27,Jacceline Broom
55,Comida,1012,2018-12-27,Bert Macklin
56,Deporte,860,2018-03-27,Paula Lionheart
57,Adornos,8086,2018-07-27,Jacceline Broom
58,Comida,1059,2018-12-27,Jacceline Broom
